"","idHash","date","greek","athlete","financialAid","gender","geography","highschool","legacy","major","orientation","race","year","school","q5","q1","q3","q6","q2","q7","q8","q4","ipedsId","caseid","weight"
"84","36b8f42e61fb4ef38ea1236e51e72d6da051e87f91a7e7ba7820870d4992b215",2019-03-29 03:32:01,4,3,1,2,5,1,2,4,2,7,1,414,4,1,2,2,9,4,2,1,236939,84,0.872604337398202
"85","a32fc30b8419400dc5b3d32e900f848add54391a5f02d46775396d49d466f56c",2019-03-29 03:32:05,4,3,2,2,3,1,2,1339,2,4,2,391,1,1,1,4,9,1,1,2,145600,85,0.578745307781934
"86","996cd0551bafe567d908488edb7578dd56587ad1109888b2d6b788ca407fa8fb",2019-03-29 03:32:05,4,3,2,1,5,1,2,271358,1,7,2,140,5,1,2,3,9,3,1,1,110680,86,0.671944248215428
"87","e5dbef790bc6497782f508cd39f248ede590ea839feb8ebf8b85f4c04b7c2ff2",2019-03-29 03:32:24,4,3,1,1,5,1,2,15,2,7,1,36,4,1,2,3,4,4,2,1,110635,87,0.614393870441535
"88","d9ea37b01777cbffd93453fdbebbeb308cda4b9f267d283f1944fe3b3f358f55",2019-03-29 03:32:53,4,3,1,2,2,1,2,65,2,7,2,710,3,3,2,3,1,3,2,3,184782,88,0.954341333290293
"89","5d4e15acdda6eb085918c1797611864d7dda255675400593f5fb59180024ba7b",2019-03-29 03:33:04,4,3,1,1,5,1,2,26,2,1,1,354,4,1,2,2,3,3,2,1,110714,89,2.33805424452707
"90","c178aba3b1b56f767be24932d9a0fda4b0ceaef222055527c4e64a41196a2936",2019-03-29 03:33:14,4,3,1,1,3,1,2,26,2,7,2,154,3,1,1,3,19,3,1,1,NA,90,0.671944248215428
"91","d6f6cd2c32fdb7cb238470ad39fb2f4597fcf3040fa25bfc7738a49cd5903e78",2019-03-29 03:33:19,4,3,2,1,1,1,1,251,2,6,3,147,4,2,2,2,9,3,2,1,166629,91,0.445945957061595
"92","a4b6efe8b9195622f0a03213c9bf1849d020244111b3f6f5073f2c78d0062a9b",2019-03-29 03:33:31,4,3,1,3,3,1,2,142870,7,2,3,595,4,1,2,1,1,4,2,1,179566,92,3.00002917592654
"93","ed3fe7a4df763707366660dab0428350df60f9826164185847a53dfd9ab41ab1",2019-03-29 03:33:32,4,3,1,2,4,1,2,3735,7,1,2,712,4,1,2,2,10,3,2,1,157951,93,3.00002917592654
"94","977925b91ee784bdba5efe612b0d05871b2ea105e854aad63755e4d9d6f882ff",2019-03-29 03:33:38,4,3,1,2,5,1,2,262944,5,6,3,397,3,1,2,2,19,2,1,1,104151,94,0.633363051127919
"95","7589e280fbe66b6a767359d2a204d918e7dd4c0086fef55b5866f1b7c81dc891",2019-03-29 03:33:42,4,2,1,2,3,1,2,1512,2,7,3,589,4,2,2,2,9,3,2,1,146719,95,1.02060044958806
